"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Vliezelse Beer als 3D-beeldje: van foto naar print","https://www.x3dprints.be/images/blog/berenfeesten-vlierzele/berenfeesten-vlierzele-og.webp","3D printen voor bedrijven & events","","Ontdek hoe X3DPrints een lokale mascotte omzette naar bronskleurige 3D-geprinte beeldjes voor de Berenfeesten in Vlierzele. Een concrete Belgische case over beeldvoorbereiding, 3D-modellering, printbaarheid en kleine serieproductie vanuit Herzele.","https://www.x3dprints.be/blog/vliezelse-beer-3d-beeldjes-berenfeesten/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=vliezelse-beer-case","2026-08-02","3D beeldje laten maken, 3D printen België, mascotte 3D printen, event merchandise, Vlierzele, Herzele"
"Van referentiefoto naar printbaar 3D-model","https://www.x3dprints.be/images/blog/berenfeesten-vlierzele/berenfeesten-vlierzele-3d-model-printvoorbereiding.webp","3D printen voor bedrijven & events","","Een afbeelding is nog geen printbaar 3D-model. In deze case zie je hoe een visuele referentie wordt omgezet, gecontroleerd en technisch voorbereid voor een stabiele 3D-print. Interessant voor mascottes, kunstobjecten, decor en gepersonaliseerde beeldjes.","https://www.x3dprints.be/blog/vliezelse-beer-3d-beeldjes-berenfeesten/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=foto-naar-3d-model","2026-08-03","foto naar 3D model, 3D modelleren, printbaar 3D model, 3D beeldje, custom 3D print"
"Lokaal erfgoed omgezet naar 3D-geprinte beeldjes","https://www.x3dprints.be/images/blog/berenfeesten-vlierzele/berenfeesten-vlierzele-origineel-standbeeld.webp","3D printen voor bedrijven & events","","Een herkenbaar lokaal beeld vertalen naar tastbare 3D-beeldjes voor een evenement. Lees hoe X3DPrints het Vliezelse berenbeeld als referentie gebruikte voor een reeks gepersonaliseerde prints met een bronzen uitstraling.","https://www.x3dprints.be/blog/vliezelse-beer-3d-beeldjes-berenfeesten/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=lokaal-erfgoed-beeldjes","2026-08-04","lokaal erfgoed 3D printen, beeld laten namaken, event beeldjes, 3D print Herzele, Berenfeesten Vlierzele"
"FlushPoint: 3D-geprinte plafondsokkel op maat","https://www.x3dprints.be/images/blog/flushpoint/01-akoestisch-spuitplafond-hanglamp-lichtpunt.webp","3D printen voor bouw & interieur","","Een maatwerk plafondsokkel voor hanglampen en inbouwspots in een akoestisch spuitplafond. Deze Belgische projectcase toont hoe 3D-modelleren, PETG-prototypes en een kleine productiereeks samen een praktisch bouwdetail oplossen.","https://www.x3dprints.be/blog/flushpoint-plafondsokkel-spuitplafond/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=flushpoint-plafondsokkel","2026-08-05","plafondsokkel op maat, 3D print bouw, akoestisch spuitplafond, hanglamp bevestiging, PETG 3D print"
"Van SketchUp-concept naar functioneel 3D-printonderdeel","https://www.x3dprints.be/images/blog/flushpoint/02-concept-plafondsokkel-sketchup-maten.webp","3D printen voor bouw & interieur","","Van eerste maatvoering in SketchUp naar een produceerbaar onderdeel: bekijk de ontwerpstappen achter een modulaire plafondsokkel voor een nieuwbouwwoning. Met aandacht voor pasvorm, montage en iteratief testen.","https://www.x3dprints.be/blog/flushpoint-plafondsokkel-spuitplafond/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=sketchup-naar-3d-print","2026-08-06","SketchUp naar 3D print, productontwikkeling, maatwerk onderdeel, prototype laten maken, 3D modelleren België"
"Meergangige schroefdraad in een 3D-geprint ontwerp","https://www.x3dprints.be/images/blog/flushpoint/03-plafondsokkel-basis-meergangige-schroefdraad.webp","3D printen voor bouw & interieur","","Technisch maatwerk met meergangige schroefdraad maakt snelle hoogteverstelling en herhaalbare montage mogelijk. Bekijk hoe dit detail werd ontworpen, getest en verwerkt in een PETG-plafondsokkel op maat.","https://www.x3dprints.be/blog/flushpoint-plafondsokkel-spuitplafond/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=meergangige-schroefdraad","2026-08-07","3D geprinte schroefdraad, technisch 3D ontwerp, PETG onderdeel, functioneel prototype, maatwerk engineering"
"Verlengde plafondsokkel voor een inbouwspot","https://www.x3dprints.be/images/blog/flushpoint/04-plafondsokkel-verlengde-variant-inbouwspot.webp","3D printen voor bouw & interieur","","Een langere FlushPoint-variant creëert de nodige ruimte voor de veerklemmen van een inbouwspot. Een praktisch voorbeeld van 3D printen op maat voor bouw, renovatie en interieurdetails die niet standaard verkrijgbaar zijn.","https://www.x3dprints.be/blog/flushpoint-plafondsokkel-spuitplafond/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=inbouwspot-sokkel","2026-08-08","inbouwspot montage, plafondsokkel inbouwspot, 3D print renovatie, maatwerk bouwonderdeel, interieur 3D print"
"Twee 3D-geprinte sokkels vergeleken","https://www.x3dprints.be/images/blog/flushpoint/05-vergelijking-korte-en-verlengde-sokkel.webp","3D printen voor bouw & interieur","","Korte of verlengde plafondsokkel? Deze vergelijking toont waarom één maat niet voor elk lichtpunt werkt. Door varianten digitaal te modelleren kan X3DPrints gericht testen en daarna efficiënt een kleine reeks produceren.","https://www.x3dprints.be/blog/flushpoint-plafondsokkel-spuitplafond/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=sokkels-vergeleken","2026-08-09","3D print varianten, kleine serie 3D printen, plafondsokkel vergelijken, prototype testen, maatwerk verlichting"
"Testpassing voor een 3D-geprinte inbouwspot-sokkel","https://www.x3dprints.be/images/blog/flushpoint/06-testopstelling-inbouwspot-veerklemmen.webp","3D printen voor bouw & interieur","","Een functioneel onderdeel wordt pas betrouwbaar na een echte testpassing. Bekijk hoe de veerklemmen van een inbouwspot werden gecontroleerd vóór de definitieve PETG-productiereeks voor het plafondproject.","https://www.x3dprints.be/blog/flushpoint-plafondsokkel-spuitplafond/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=testpassing-inbouwspot","2026-08-10","testpassing 3D print, inbouwspot veerklemmen, PETG prototype, functioneel onderdeel, 3D print kwaliteitscontrole"
"Trekontlasting voor een hanglamp op maat","https://www.x3dprints.be/images/blog/flushpoint/07-opzetstuk-hanglamp-met-trekontlasting.webp","3D printen voor bouw & interieur","","Dit 3D-geprinte opzetstuk combineert kabeldoorvoer en trekontlasting voor een hanglamp. Een compact detail dat laat zien hoe maatwerk 3D printen bestaande montageproblemen praktisch kan oplossen.","https://www.x3dprints.be/blog/flushpoint-plafondsokkel-spuitplafond/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=trekontlasting-hanglamp","2026-08-11","trekontlasting hanglamp, kabeldoorvoer op maat, 3D print montagehulp, lamp onderdeel, functioneel 3D printen"
"Tijdelijke spuitkap voor een akoestisch plafond","https://www.x3dprints.be/images/blog/flushpoint/08-spuitkap-tijdelijke-afdekking.webp","3D printen voor bouw & interieur","","Een tijdelijke 3D-geprinte spuitkap beschermt het montagepunt tijdens de afwerking van een akoestisch plafond. Bekijk de volledige FlushPoint-case van concept en testprint tot installatie.","https://www.x3dprints.be/blog/flushpoint-plafondsokkel-spuitplafond/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=website_content_2026_08&utm_content=spuitkap-plafond","2026-08-12","spuitkap plafond, afdekdop op maat, 3D print bouwplaats, akoestisch plafond detail, custom beschermkap"
