Published,Title,File,Board,Description,Link
2026-08-01,"Automotive dashboardvent op maat 3D geprint","public/images/portfolio/automotive-dashboard-honeycomb-vent.webp","3D print onderdelen & prototypes","Een bestaand dashboardonderdeel namaken of aanpassen? Deze automotive ventilatiebehuizing met honingraatrooster toont hoe X3DPrints functionele onderdelen, prototypes en vervangstukken op maat 3D print vanuit Herzele voor klanten in België.","https://www.x3dprints.be/portfolio/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=older_portfolio_launch&utm_content=automotive_dashboardvent"
2026-08-01,"LED-spot armatuur op maat 3D geprint","public/images/portfolio/custom-led-spot-armatuur.webp","3D printen voor bouw & interieur","Custom behuizing of montageonderdeel nodig voor verlichting? Dit 3D-geprinte LED-spotarmatuur werd op maat gemaakt als functioneel bouw- en interieuronderdeel.","https://www.x3dprints.be/images/portfolio/custom-led-spot-armatuur.webp"
2026-08-01,"Gitaar-pickguard op maat als 3D-geprint prototype","public/images/portfolio/custom-guitar-pickguard-template.webp","3D print onderdelen & prototypes","Een pickguard of afdekplaat nodig die niet standaard verkrijgbaar is? Dit roze gitaaronderdeel toont hoe een maatwerkprototype snel kan worden getest.","https://www.x3dprints.be/images/portfolio/custom-guitar-pickguard-template.webp"
2026-08-01,"Juwelendisplay en kettingbuste op maat 3D geprint","public/images/portfolio/minimal-necklace-display-busts-black-white.webp","3D printen voor bedrijven & events","Minimalistische zwarte en witte presentatiestandaards voor kettingen en juwelen, op maat voor winkels, markten, fotografie en beurzen.","https://www.x3dprints.be/images/portfolio/minimal-necklace-display-busts-black-white.webp"
2026-08-01,"Gepersonaliseerd deurbord en bedrijfssignage 3D geprint","public/images/portfolio/office-toilet-door-sign.webp","3D printen voor bedrijven & events","Van kantoor- en toiletbord tot logo, naamplaat of bewegwijzering: duidelijke meerkleurige signage op maat.","https://www.x3dprints.be/images/portfolio/office-toilet-door-sign.webp"
2026-08-01,"Gepersonaliseerde hondenbuste als 3D-geprint beeld","public/images/portfolio/large-white-dog-head-sculpture.webp","3D scannen & scan-to-print","Een huisdier vereeuwigen als decoratief beeld of persoonlijk geschenk met digitaal modelleren en 3D printen.","https://www.x3dprints.be/images/portfolio/large-white-dog-head-sculpture.webp"
2026-08-01,"Moderne geribbelde vaas op maat 3D geprint","public/images/portfolio/ribbed-white-vase-with-pampas-grass.webp","3D printen voor bouw & interieur","Moderne witte vaas met verticale ribstructuur, aanpasbaar in formaat, kleur en patroon.","https://www.x3dprints.be/images/portfolio/ribbed-white-vase-with-pampas-grass.webp"
2026-08-01,"Gepersonaliseerd liefdesbeeld met hart en namen","public/images/portfolio/romantic-heart-couple-sculpture-guy-maggy.webp","3D printen voor bedrijven & events","Persoonlijk 3D-geprint cadeau voor huwelijk, jubileum of Valentijn met koppelsilhouet, hartvorm en namen.","https://www.x3dprints.be/images/portfolio/romantic-heart-couple-sculpture-guy-maggy.webp"
2026-08-01,"Paardenbeeld als gepersonaliseerde herdenkingsprijs","public/images/portfolio/custom-horse-memorial-trophy-kilowatt.webp","3D printen voor bedrijven & events","Persoonlijke trofee of herinneringsstuk met paardenbeeld, naamplaat en sokkel.","https://www.x3dprints.be/images/portfolio/custom-horse-memorial-trophy-kilowatt.webp"
2026-08-01,"Tabletop miniaturen en spelfiguren op maat 3D geprint","public/images/portfolio/tabletop-character-miniatures-display.webp","3D printen voor bedrijven & events","Gedetailleerde tabletopfiguren, prototypes en gepersonaliseerde verzamelstukken voor spel, club of evenement.","https://www.x3dprints.be/images/portfolio/tabletop-character-miniatures-display.webp"
2026-08-01,"Set handvormige ringhouders als juwelendisplay","public/images/portfolio/white-hand-ring-holder-display-set.webp","3D printen voor bedrijven & events","Samenhangende presentatieset voor ringen, armbanden en kleine juwelen voor winkels, etalages en fotografie.","https://www.x3dprints.be/images/portfolio/white-hand-ring-holder-display-set.webp"
2026-08-01,"Gestileerd uilenbeeld als moderne 3D-geprinte decoratie","public/images/portfolio/stylized-owl-sculpture.webp","3D printen voor bouw & interieur","Decoratief uilenbeeld met aanpasbare kleur, formaat en afwerking voor interieur of winkelpresentatie.","https://www.x3dprints.be/images/portfolio/stylized-owl-sculpture.webp"
